Customer Message,Category
"What a price!	",price compliment
"The price looks good	",price compliment
"The price looks great	",price compliment
"The price looks ok	",price compliment
"The price offer is good	",price compliment
"Thanks for the offer	",price compliment
"Your price offer is good	",price compliment
"The price offered great	",price compliment
"Great price!!!	",price compliment
"U have affordable price	",price compliment
"I can think of buying with this price	",price compliment
"I think the price is good	",price compliment
"Best price I ever got !!!	",price compliment
"I am satisfied with this price	",price compliment
"Good price with value	",price compliment
"Your price is as per expectation	",price compliment
"Bumper price	",price compliment
"You bring out the bestprice in camparision to others	",price compliment
"Price is worth full	",price compliment
"I am lucky to have such reasonable price	",price compliment
"Reasonable price	",price compliment
"Reasonable and affordable	",price compliment
"Price is fair enough	",price compliment
"It is the same price I expected	",price compliment
"Price is cheaper	",price compliment
"Price is standard and acceptable	",price compliment
"Price is acceptable	",price compliment
"It is marginal	",price compliment
"U meet my expected price	",price compliment
"I found my dream price	",price compliment
"Price is full of worth	",price compliment
"Price reflects the quality	",price compliment
"Price provides the worth	",price compliment
"It is satifactory	",price compliment
"price is satisfying	",price compliment
"Price is satisfiable	",price compliment
"Wow! i never thought this product at this rate	",price compliment
"Amount is full of worth	",price compliment
"Amount reflects the quality	",price compliment
"Amount provides the worth	",price compliment
"Amount is satisying	",price compliment
"Amount is satisfiable	",price compliment
"its a great deal at this price	",price compliment
"It really great to have this product at this rate	",price compliment
"Its a great deal at this amount	",price compliment
"Its a great deal at this rate	",price compliment
"Its a great deal at this cost	",price compliment
"It really great to have this product at this amount	",price compliment
"It really great to have this product at this price	",price compliment
"Yeah  satisfied with this price	",price compliment
"Yeah  satisfied with this amount	",price compliment
"Yeah  satisfied with this cost	",price compliment
"Yeah  satisfied with this rate	",price compliment
"Cool price	",price compliment
"Cool at this rate	",price compliment
"happy at this rate	",price compliment
"Happy at this price	",price compliment
"Comparable to wholesale price	",price compliment
"Huge profit at this price	",price compliment
"I can think of another transaction at this price	",price compliment
"Price is nominal	",price compliment
"At this price I can buy more products	",price compliment
"The price is lower now	",price compliment
"Wow ! It’s like great sale at this price	",price compliment
"Your price is meeting my all needs	",price compliment
"I never saw such low price	",price compliment
"Your price is better than others	",price compliment
"A stipulated price I think	",price compliment
"nice products	",product compliment
"good products	",product compliment
"products are really good	",product compliment
"products are really nice	",product compliment
"really good products	",product compliment
"really nice products	",product compliment
"this color is nice	",product compliment
"that color was nice	",product compliment
"this is a really good color	",product compliment
"this is really nice	",product compliment
"this is really good	",product compliment
"nice design	",product compliment
"good design	",product compliment
"really nice design	",product compliment
"really good design	",product compliment
"good variety	",product compliment
"fabulous products	",product compliment
"amazing	",product compliment
"amazing products	",product compliment
"beautiful	",product compliment
"it looks good	",product compliment
"it looks nice	",product compliment
"wow! nice	",product compliment
"wonderful	",product compliment
"sporty	",product compliment
"wow! sporty shoes	",product compliment
"nice! sporty shoes	",product compliment
"got my delivery today! nice color	",product compliment
"got my delivery today! good quality	",product compliment
"got my delivery today! comfortable piece	",product compliment
"got my delivery today! comfortable product	",product compliment
"wow! what a product	",product compliment
"Comfortable size  Size chart is perfect.	",product compliment
"Good Quality	",product compliment
"nice texture	",product compliment
"good texture	",product compliment
"texture is nice	",product compliment
"texture is good	",product compliment
"so nice	",product compliment
"cool	",product compliment
"its cool	",product compliment
"so cool	",product compliment
"very beautiful	",product compliment
"attractive	",product compliment
"this color is attractive	",product compliment
"so attractive	",product compliment
"very attractive	",product compliment
"this design is attractive	",product compliment
"Good service	",product compliment
"design is attractive	",product compliment
"Nice fitting quite good fabric	",product compliment
"nice fabric	",product compliment
"Good Quality Cotton  Extremely Smooth and comfortable	",product compliment
"nice product Value for money	",product compliment
"nice fitting	",product compliment
"good fitting	",product compliment
"very nice fitting	",product compliment
"fitting is nice	",product compliment
"Good quality and met my expectations	",product compliment
"Wasting of money	",product compliment
"bad quality	",product compliment
"cheap product	",product compliment
"not meet my expectations	",product compliment
"Brilliant purchase	",product compliment
"I got defected piece	",product compliment
"quality is better compare to price	",product compliment
"just ok ok product.	",product compliment
"product as promised	",product compliment
"good quality in low price  thanks	",product compliment
"size is smaller than actual size	",product compliment
"damaged piece	",product compliment
"satisfied with my product	",product compliment
"your products are durable	",product compliment
"I am extremely delighted with the quality	",product compliment
"i am very happy with the quality I got	",product compliment
"thank you for the quality	",product compliment
"thank you for the best product	",product compliment
"thank you I am happy to get this	",product compliment
"Colour is not same as it look	",product compliment
"well designed product	",product compliment
"this product is well designed	",product compliment
"Product is not good as it look	",product compliment
"I am not satisfied with the quality	",product compliment
"I hope that color is durable	",product compliment
"size is not same as shown	",product compliment
"quality is not same as shown	",product compliment
"got the same size	",product compliment
"product is worst  useless	",product compliment
"I got exactly same product as shown! satisfied	",product compliment
"got exactly same color! happy	",product compliment
"heyy I got different size	",product compliment
"heyy I got different colored product	",product compliment
"hey I got different color	",product compliment
"this is really a waste	",product compliment
"this is of no use	",product compliment
"it is really useful	",product compliment
"cod?	",payment ask
"how can i pay?	",payment ask
"cash on delivery	",payment ask
"is there another option to pay	",payment ask
"can i pay later	",payment ask
"will i have to pay now	",payment ask
"how to make payment	",payment ask
"there is connection problem	",payment ask
"i am unable to make payment via whatsapp	",payment ask
"is it secure to make payment over here	",payment ask
"do you need it right now	",payment ask
"what if i make payment after order received	",payment ask
"let me get my order first then i will pay	",payment ask
"i am going to pay only after receiving my order	",payment ask
"you pay for me i will give you later	",payment ask
"you pay for me i will give you hardcash	",payment ask
"can i use tez	",payment ask
"can i use paytm	",payment ask
"can i use bhim	",payment ask
"can i make card payment on cod	",payment ask
"How to do payment	",payment ask
"What about payment	",payment ask
"Tell me about payment	",payment ask
"And what about payment sir?	",payment ask
"And the way for payment?	",payment ask
"can i pay later	",payment ask
"how to pay? online or handcash?	",payment ask
"When to pay	",payment ask
"Can i pay urgently	",payment ask
"I am short of money  can i pay later	",payment ask
"I am short of momey  any other option	",payment ask
"I have no money right now  what to do?	",payment ask
"is it mandatory to pay right now	",payment ask
"when to pay brother?	",payment ask
"should i pay now?	",payment ask
"can i pay tomorrow?	",payment ask
"can i pay day after tomorrow?	",payment ask
"is it mandatory to pay today itself	",payment ask
"i am your regular customer  can i pay tomorrow	",payment ask
"i am your regular customer  can i pay later	",payment ask
"what are the ways to pay?	",payment ask
"are you accepting the cash?	",payment ask
"can I pay to you when we meet?	",payment ask
"i will give you money when we meet   is it fine?	",payment ask
"is it necessary to pay urgently	",payment ask
"is it mandatory to pay urgently	",payment ask
"is it required to pay urgently	",payment ask
"is it necessary to give urgently	",payment ask
"is it mandatory to give urgently	",payment ask
"is it required to give urgently	",payment ask
"tez?	",payment ask
"bhim?	",payment ask
"paytm?	",payment ask
"tez or bhim?	",payment ask
"paypal?	",payment ask
"net banking?	",payment ask
"why not tez?	",payment ask
"why not bhim?	",payment ask
"why not paytm?	",payment ask
"why only whatsapp payment?	",payment ask
"whatsapp payment?	",payment ask
"How to pay with whatsapp payment?	",payment ask
"How to go with payment?	",payment ask
"is it secure?	",payment ask
"is it secure enough?	",payment ask
"I think its not secure hand cash please?	",payment ask
"whats the problem with hand cash?	",payment ask
"any installments option?	",payment ask
"is there any installment scheme	",payment ask
"why don't you offer installments scheme	",payment ask
"what if I pay in installments	",payment ask
"installments?	",payment ask
"can I do partial payment now	",payment ask
"can I do partial payment now and remaining later	",payment ask
"what if I pay half of the amount	",payment ask
"what if I pay half of the charges	",payment ask
"what if I pay half of the amount now	",payment ask
"what if I pay half of the charges now	",payment ask
"I am short of money	",payment ask
"I am broke now	",payment ask
"I am broke what should I do now	",payment ask
"I am broke what can I do	",payment ask
"I am lack of money	",payment ask
"I am short of money	",payment ask
"I don't have enough money	",payment ask
"please help for paying	",payment ask
"guide me for my payment procedure	",payment ask
"guide me for my payment process	",payment ask
"wait for sometime I will surely pay	",payment ask
"can't you wait for the payment for #day	",payment ask
"payment mode	",payment ask
"which payment mode I should prefer	",payment ask
"what will be the payment mode	",payment ask
"is there any other mode of payment	",payment ask
"is there any other payment mode	",payment ask
"which payment mode I should go for	",payment ask
"what payment mode I should choose	",payment ask
"which payment mode you prefer	",payment ask
"what payment mode you prefer	",payment ask
"has my product dispatched	",delivery check
"when it is going to get shipped	",delivery check
"has my product order placed or not	",delivery check
"have you taken my order under consideration or not	",delivery check
"where is my order	",delivery check
"my order didnt receive yet	",delivery check
"when will be my product shipped	",delivery check
"dispatched?	",delivery check
"not received yet	",delivery check
"can i cancel it now	",delivery check
"please track my order	",delivery check
"can i return the product	",delivery check
"i have given todays date for delivery i havent received yet	",delivery check
"why is it getting late	",delivery check
"hey! I didn't received yet.	",delivery check
"can you tell me the current location of my shipment	",delivery check
"tell me the location of shipment	",delivery check
"tell me the location of my product	",delivery check
"can I track my order	",delivery check
"please track my order	",delivery check
"track my order	",delivery check
"Please tell me the current location of my product	",delivery check
"Is it possible to check by myself about delivery	",delivery check
"Please deliver the product in stipulated time	",delivery check
"Can I track my product	",delivery check
"What will be the estimate time for delivery	",delivery check
"Can I get delivery on time	",delivery check
"I received the delivery	",delivery check
"I got my delivery	",delivery check
"It would be great if I get delivery on time	",delivery check
"How much time it takes to deliver the product?	",delivery check
"Where can expect to see it on my doorstep	",delivery check
"Does I have to wait to receive it	",delivery check
"What is your delivery time	",delivery check
"Where can I see my product	",delivery check
"When I can see my product	",delivery check
"I can’t wait for more time	",delivery check
"I can’t Wait to receive it	",delivery check
"How to track delivery	",delivery check
"How can I track my product	",delivery check
"Please send me the product in my specified time	",delivery check
"I want my delivery according to my time	",delivery check
"Can you check where the product is	",delivery check
"Right now what is the status of delivery	",delivery check
"Get me the status of delivery	",delivery check
"Will you be able to check my delivery details	",delivery check
"Please check the status of delivery	",delivery check
"Hey bro will I get delivery on time	",delivery check
"Can you place my delivery to my neighbor house	",delivery check
"Can you place my delivery at someone’s address	",delivery check
"I want my delivery between these dates	",delivery check
"I want my delivery as soon as possible	",delivery check
"Will the price would be the same after delivery	",delivery check
"I don’t want different product after delivery	",delivery check
"I don’t want any mal practice in delivery process	",delivery check
"I hope the product would be on time	",delivery check
"I will not be available to receive my order	",delivery check
"I will not be there what can I do then	",delivery check
"can't you keep my order with you for some days	",delivery check
"keep it with you I will take it from your home	",delivery check
"my sister will take delivery is it ok?	",delivery check
"my brother will take delivery is it ok?	",delivery check
"my father will take delivery is it ok?	",delivery check
"my aunt will take delivery is it ok?	",delivery check
"my grandma will take delivery is it ok?	",delivery check
"my grandfather will take delivery is it ok?	",delivery check
"my grandpa will take delivery is it ok?	",delivery check
"where is your delivery boy	",delivery check
"why is it not coming	",delivery check
"I think it is taking too much time	",delivery check
"don't you think it is taking too much time	",delivery check
"pls faster your delivery process	",delivery check
"please contact me when the delivery reached at destination	",delivery check
"If Incase i am not there please give it to neighbour	",delivery check
"please give me your assurance that you will deliver on time	",delivery check
"how much time it generally takes when the distance is too far	",delivery check
"how much time it generally takes when the distance is less	",delivery check
"my mom will take delivery is it ok?	",delivery check
"where is your delivery office?	",delivery check
"if i didn't get the product can i get my money back?	",delivery check
"if the product goes in wrong hands then in that case can i get money back?	",delivery check
"if the product is of wrong choice can i change it?	",delivery check
"if the product is of wrong choice can i get my money back?	",delivery check
"if the product is dublicate i will hunt you down!	",delivery check
"if the product is dublicate can i get my money back?	",delivery check
"if the product is faulty can i replace with new one	",delivery check
"will i get acknowlegement after delivery?	",delivery check
"will i get recepit after delivery?	",delivery check
"After delivery can i be able to check it before giving money	",delivery check
"your deliver speed is very good	",delivery compliment
"I got my order ontime	",delivery compliment
"thanks for giving product ontime	",delivery compliment
"delivey was very fast	",delivery compliment
"I got my delivery ontime	",delivery compliment
"it was too fast	",delivery compliment
"it was unexpectadely fast	",delivery compliment
"I am glad that I got it before my delivery scheduled date	",delivery compliment
"I am impressed by your delivery process	",delivery compliment
"delivery speed was really impressive	",delivery compliment
"got on time	",delivery compliment
"nice!! delivered on time	",delivery compliment
"i got late delivery	",delivery compliment
"cant you make deliveries possible ontime	",delivery compliment
"I never experienced such a fast delivery speed	",delivery compliment
"just awesome delivery service	",delivery compliment
"Your delivery charges are very high	",delivery compliment
"Bro you are very fast!!	",delivery compliment
"Make your delivery time faster	",delivery compliment
"This is the worst delivery time I have ever experienced	",delivery compliment
"your delivery time is as good as Amazon !!!	",delivery compliment
"woah!!what a quick service	",delivery compliment
"Make delivery charges exempt	",delivery compliment
"you are too slow	",delivery compliment
"i received faulty piece	",delivery compliment
"You don’t knows how to deliver the product !	",delivery compliment
"Yeah  i got the delivery	",delivery compliment
"I got the product	",delivery compliment
"I got the delivery in time	",delivery compliment
"I received tge product in time	",delivery compliment
"Thanks for in time delivery	",delivery compliment
"I have not received the delivery yet	",delivery compliment
"Hey  what about delivery  why it is late	",delivery compliment
"Hey i have not received it	",delivery compliment
"Thanks for your fast service	",delivery compliment
"it's too quick	",delivery compliment
"thanks for not applying delivery charges	",delivery compliment
"thank you so much for not applying delivery charges	",delivery compliment
"glad for not applying delivery charges	",delivery compliment
"pleased by your delivery service	",delivery compliment
"satisfied by your delivery service	",delivery compliment
"great service I ever had	",delivery compliment
"great delivery service I ever had	",delivery compliment
"awesome delivery speed	",delivery compliment
"unsatisfied with delivery speed	",delivery compliment
"very poor delivery speed	",delivery compliment
"remarkable delivery speed	",delivery compliment
"delivery speed is unbeatable	",delivery compliment
"loved this speed of delivery	",delivery compliment
"fabulous delivery speed	",delivery compliment
"thank you so much for not adding any shipping charges	",delivery compliment
"thank you so much for not applying any shipping charges	",delivery compliment
"thanks for not adding any shipping charges	",delivery compliment
"thanks for not applying any shipping charges	",delivery compliment
"shipping charges are nominal	",delivery compliment
"shipping charges are too less	",delivery compliment
"delivery charges are nominal	",delivery compliment
"delivery charges are too less	",delivery compliment
"delivery charges are very appropriate	",delivery compliment
"shipping charges are very appropriate	",delivery compliment
"delivery speed is appreciable	",delivery compliment
"shipping speed is appreciable	",delivery compliment
"shipping speed is not appreciable	",delivery compliment
"delivery speed is not appreciable	",delivery compliment
"shipping charges are not appropriate	",delivery compliment
"delivery charges are not appropriate	",delivery compliment
"cheap delivery speed	",delivery compliment
"cheap shipping speed	",delivery compliment
"cheap delivery charges	",delivery compliment
"cheap shipping charges	",delivery compliment
"fabulous shipping speed	",delivery compliment
"ridiculous delivery speed	",delivery compliment
"ridiculous shipping speed	",delivery compliment
"ridiculous delivery charges	",delivery compliment
"ridiculous shipping charges	",delivery compliment
"disgusting shipping speed	",delivery compliment
"disgusting delivery speed	",delivery compliment
"disgusting delivery charges	",delivery compliment
"disgusting shipping charges	",delivery compliment
"awful delivery speed	",delivery compliment
"awful shipping speed	",delivery compliment
"awful delivery charges	",delivery compliment
"awful shipping charges	",delivery compliment
"unpleasant delivery speed	",delivery compliment
"unpleasant delivery charges	",delivery compliment
"unpleasant shipping speed	",delivery compliment
"unpleasant shipping charges	",delivery compliment
"very quick service I have ever seen	",delivery compliment
"very quick delivery	",delivery compliment
"very quick shipping	",delivery compliment
"superb delivery speed	",delivery compliment
"superb shipping speed	",delivery compliment
"superb delivery charges	",delivery compliment
"superb shipping charges	",delivery compliment
"excellent delivery speed	",delivery compliment
"excellent shipping speed	",delivery compliment
"indeed pleased by delivery speed	",delivery compliment
"indeed pleased by shipping speed	",delivery compliment
"Hey  i dont want the product  can you cancel it?	",order cancellation
"Can you cancel the product?	",order cancellation
"Can you refund my money?	",order cancellation
"Can you cancel my order?	",order cancellation
"Can you cancel the order?	",order cancellation
"Cancel the order please	",order cancellation
"Please cancel my order	",order cancellation
"I dont want the product	",order cancellation
"I want my money back	",order cancellation
"I request you to cancel my order	",order cancellation
"please be kind  give my money back	",order cancellation
"Hey bro  show some kindness  return my money	",order cancellation
"I dont want this product	",order cancellation
"Cancel the order	",order cancellation
"Cancel it	",order cancellation
"I ordered it yesterday only  so please cancel it	",order cancellation
"Its just 2 days after the order  so please cancel it	",order cancellation
"Its not late  so cancel it	",order cancellation
"refund my money  there was not any agreement about no refund	",order cancellation
"Refund it	",order cancellation
"You are losing one costumer  if you dont want to do so then kindly refund it/	",order cancellation
"You are losing one costumer  if you dont want to do so then kindly refund the amount	",order cancellation
"You are losing one costumer  if you dont want to do so then kindly refund the money	",order cancellation
"Refund the money I paid	",order cancellation
"Refund the amount I paid	",order cancellation
"Refund the money I paid	",order cancellation
"Refund the amount I gave	",order cancellation
"Refund the payment i paid	",order cancellation
"Refund the amount as soon as possible	",order cancellation
"Refund the bucks as soon as possible	",order cancellation
"Refund the payment	",order cancellation
"Refund the payment I gave	",order cancellation
"Refund my amount	",order cancellation
"Refund the money	",order cancellation
"Refund the money I paid	",order cancellation
"Refund the amount I paid	",order cancellation
"Refund the money I paid	",order cancellation
"Refund the amount I gave	",order cancellation
"Refund the payment i paid	",order cancellation
"Can you refund my money?	",order cancellation
"return my money  there was not any agreement about no return	",order cancellation
"return it	",order cancellation
"You are losing one costumer  if you dont want to do so then kindly return it/	",order cancellation
"You are losing one costumer  if you dont want to do so then kindly return the amount	",order cancellation
"You are losing one costumer  if you dont want to do so then kindly return the money	",order cancellation
"return the money I paid	",order cancellation
"return the amount I paid	",order cancellation
"return the money I paid	",order cancellation
"return the amount I gave	",order cancellation
"return the payment i paid	",order cancellation
"return the amount as soon as possible	",order cancellation
"return the bucks as soon as possible	",order cancellation
"return the payment	",order cancellation
"return the payment I gave	",order cancellation
"return my amount	",order cancellation
"return the money	",order cancellation
"return the money I paid	",order cancellation
"return the amount I paid	",order cancellation
"return the money I paid	",order cancellation
"return the amount I gave	",order cancellation
"return the payment i paid	",order cancellation
"what is the size?	",feature ask
"size	",feature ask
"which are the colors available?	",feature ask
"any other colors available?	",feature ask
"any other sizes available?	",feature ask
"i want # size. is it available?	",feature ask
"i want # size.	",feature ask
"i want * colored	",feature ask
"i want * colored. is it available?	",feature ask
"is it waterproof?	",feature ask
"what more features it has	",feature ask
"can i get more information about this	",feature ask
"is it washable	",feature ask
"material?	",feature ask
"it looks small... what is the actual size	",feature ask
"it looks large... what is the actual size	",feature ask
"will i get exactly same product	",feature ask
"looks nice	",feature ask
"nice color. will i get the same?	",feature ask
"can you send some more pictures of it	",feature ask
"is * color available	",feature ask
"is # size available	",feature ask
"will i get accessories	",feature ask
"any accessories	",feature ask
"tell me when # size is available	",feature ask
"tell me when * color is available	",feature ask
"is it for kids	",feature ask
"is it for men	",feature ask
"is it for ladies	",feature ask
"is it for girls	",feature ask
"is it only for mens	",feature ask
"is it only for girls	",feature ask
"is it only for children	",feature ask
"how much does it weigh?	",feature ask
"weight	",feature ask
"is it lightweight	",feature ask
"is it heavy	",feature ask
"what are exact dimensions	",feature ask
"dimensions?	",feature ask
"is ther any warranty	",feature ask
"gurantee	",feature ask
"which brand is this	",feature ask
"is it of $ brand?	",feature ask
"does it shine?	",feature ask
"what is its capacity?	",feature ask
"capacity	",feature ask
"what is its height?	",feature ask
"height?	",feature ask
"use and throw?	",feature ask
"where is it made?	",feature ask
"is it chinamade?	",feature ask
"is it original?	",feature ask
"is it duplicate?	",feature ask
"i am confused about the size	",feature ask
"i am confused about the color	",feature ask
"i am confused about the quality	",feature ask
"is it of @ material?	",feature ask
"is is replaceble if i am not satisfied	",feature ask
"any other shades available?	",feature ask
"are there any different contrasting colors ?	",feature ask
"is it available in some funky design?	",feature ask
"any sober color i can choose from?	",feature ask
"is it a half sleev	",feature ask
"is it a full sleev	",feature ask
"is it glossy finished?	",feature ask
"does it have mat finishing	",feature ask
"have you got my payment	",payment check
"i sent my money	",payment check
"i sent my amount	",payment check
"i sent my money... have you received?	",payment check
"have you received my money?	",payment check
"i paid the amount	",payment check
"i paid the money	",payment check
"i have done the payment	",payment check
"i think payment failed	",payment check
"i am getting a problem while paying	",payment check
"transaction completed	",payment check
"I did the payment	",payment check
"I am done	",payment check
"have you got the amount	",payment check
"I am don with the payment	",payment check
"I did the payment  is the process completed or anything else is remaining	",payment check
"yes   I am done	",payment check
"Hey bro  i am done	",payment check
"Hey  its finished	",payment check
"Payment done	",payment check
"Payment done now	",payment check
"Okay  done with the payment stuff	",payment check
"Money sent	",payment check
"I have sent the amount	",payment check
"Amount sent	",payment check
"Have you got the amount	",payment check
"Have you recieved the money	",payment check
"Have you got the money	",payment check
"Hey  amount received?	",payment check
"Hey  money received?	",payment check
"Have you got the money?	",payment check
"Money received?	",payment check
"Payment received?	",payment check
"Yes  i am done	",payment check
"process completed.	",payment check
"Hey  i am done	",payment check
"Its done	",payment check
"Have you received my money?	",payment check
"Is money received?	",payment check
"Hey  done with the payment  waiting for my product.	",payment check
"Hey  anything more?	",payment check
"Hey  anything else to do?	",payment check
"Is there anything else to do?	",payment check
"Is there anything else?	",payment check
"i have done transaction	",payment check
"done with transaction	",payment check
"transaction done	",payment check
"transaction process completed	",payment check
"transaction process done	",payment check
